Cantidad de Procesos,Hora de Inicio,Hora de Fin
200,70,3031.7892828198164
200,71,3023.951692514837
200,72,2935.134321050775
200,73,3030.954933865311
200,74,3032.550975593132
200,75,3016.6616884297114
200,76,3016.883774303598
200,77,3130.540645274006
200,78,3195.219250213671
200,79,3156.746126924541
200,80,3208.3287543405368
200,81,3194.974789362316
200,82,3151.829642374486
200,83,3254.033385351169
200,84,3275.853485005939
200,85,3258.782864514885
200,86,3285.8597742670763
200,87,3300.830775864918
200,88,3396.85813114329
200,89,3467.5633890791973
200,90,3431.350227235422
200,91,3534.198854148395
200,92,3458.679295795052
200,93,3568.7382984619394
200,94,3584.2603562442678
200,95,3732.5183507928814
200,96,3582.7172304294913
200,97,3635.0066005042727
200,98,3567.283013905024
200,99,3594.808855443444
200,100,3762.9349951673407
200,101,3910.322414638219
200,102,3888.1481631459915
200,103,3774.2047725497478
200,104,3893.3716551704333
200,105,3682.5197152656615
200,106,3918.85499476823
200,107,3738.682928639059
200,108,3749.1317378203826
200,109,3919.5683171557093
200,110,3833.6560150864525
200,111,4122.201660193468
200,112,3841.9671545487345
200,113,4126.807535992645
200,114,3913.6143798879807
200,115,4184.99317566082
200,116,3943.58311286401
200,117,3958.1274972095007
200,118,4237.894970182829
200,119,3992.4003925583006
200,120,4259.68506631796
200,121,4144.971189347878
200,122,4036.885375827514
200,123,4158.609188186623
200,124,4320.1887541702845
200,125,4076.36991316558
200,126,4151.546478547094
200,127,4435.168809274509
200,128,4458.896566257326
200,129,4472.100597881184
200,130,4253.950520664595
200,131,4384.2608095933365
200,132,4296.552935537116
200,133,4514.234965715648
200,134,4296.437892974322
200,135,4567.892849596348
200,136,4558.17486023252
200,137,4504.36401856664
200,138,4595.948042575708
200,139,4408.469414557032
200,140,4601.2055043768705
200,141,4619.314174548359
200,142,4653.151743625043
200,143,4600.628253144284
200,144,4722.946631696669
200,145,4738.865877209342
200,146,4667.362374154008
200,147,4602.132225394204
200,148,4719.980718036728
200,149,4871.666051105183
200,150,4746.279593158676
200,151,4770.20877386292
200,152,4674.027353121706
200,153,4917.212144390417
200,154,4813.634329113053
200,155,4839.510064339619
200,156,4965.692141926637
200,157,4933.224920398062
200,158,4942.236919326082
200,159,4858.069473290905
200,160,5003.999133772627
200,161,4776.238912767344
200,162,4900.803799574204
200,163,5026.710722200921
200,164,4753.113387606656
200,165,5029.602086078724
200,166,5070.468450056764
200,167,4846.7519146928835
200,168,4944.43388934892
200,169,5000.33424596193
200,170,4878.045683402147
200,171,5108.498885403026
200,172,5050.615120061235
200,173,5121.219865479924
200,174,5142.5461045104175
200,175,5042.227862974965
200,176,5068.441146859934
200,177,5221.939365159008
200,178,4960.009608674527
200,179,5194.953592651708
200,180,5087.119920681629
200,181,5199.965982623334
200,182,5205.905029887338
200,183,5106.03851219997
200,184,5063.878772856572
200,185,5150.926528768435
200,186,5067.09039043612
200,187,5227.469546671783
200,188,5230.910014930421
200,189,5227.5170774263515
200,190,5098.588232203176
200,191,5103.260554552237
200,192,5210.7170587592545
200,193,5235.971311336166
200,194,5211.1406903420575
200,195,5227.187762416226
200,196,5133.362774392986
200,197,5135.97643959201
200,198,5145.121719193741
200,199,5234.337579834692
